ID;PLZ;Region;Strassenname;Anzahl_Mitarbeiter;Verkaufsflaeche;Jahresumsatz;longitude;latitude
165;09456;Annaberg-Buchholz;Chemnitzer Str. 42;8415;16830.0;2805.0;13.0092635;50.5926834
166;01558;Großenhain;Radeburger Str. 5;4316;19422.0;2158.0;13.5379258;51.294918200000005
167;09599;Freiberg;Olbernhauer Str. 45-47;6012;30060.0;3006.0;13.3370085;50.90852109999999
168;01662;Meißen-Cölln;Fabrikstr. 11;4032;9408.0;1344.0;13.485101199999999;51.160396899999995
169;01662;Meißen-Altstadt;Poststr. 11;6084;20280.0;2028.0;13.6359165;51.071800399999994
170;03238;Finsterwalde;Langer Damm 6;5610;18700.0;1870.0;13.7113789;51.629354600000006
171;01723;Wilsdruff;Freiberger Str. 56;4446;22230.0;2223.0;13.464009599999999;51.0044468
172;01689;Weinböhla;Dresdner Str. 16;2752;11008.0;1376.0;13.5626851;51.159254100000005
173;01561;Lampertswalde;Am Mart 1;5190;23355.0;2595.0;13.6712797;51.306521999999994
174;01979;Lauchhammer;Gerhart-Hauptmann-Str. 6A;2610;6960.0;870.0;13.768590300000001;51.4982482
175;01445;Radebeul-West;Meißner Str. 252;1050;1750.0;350.0;13.633334900000001;51.108445399999994
176;01471;Radeburg;Lindenweg 1;528;1408.0;176.0;13.731082500000001;51.2152122
177;03222;Lübbenau;Otto-Grotewohl-Str. 19;9027;27081.0;3009.0;13.9417089;51.859775299999995
178;01445;Radebeul-Ost;Meißner Str. 41;8900;40050.0;4450.0;13.690958100000001;51.0975175
179;01169;Dresden-Gorbitz;Omsewitzer Ring 45;8592;34368.0;4296.0;13.663629;51.0489989
180;01157;Dresden-Cotta;Cossebauder Str. 6;4680;21060.0;2340.0;13.680966699999999;51.0606777
181;01705;Freital;Dresdner Str. 112;1086;2715.0;543.0;13.656785000000001;51.009034899999996
182;01945;Ruhland;Berliner Str. 1;13650;45500.0;4550.0;13.868076199999999;51.4605548
183;03205;Calau;Gewerbepark Nord 1;2196;5490.0;1098.0;13.953504999999998;51.7492539
184;01129;Dresden-Trachenberge;Großenhainer Str. 156;5520;14720.0;1840.0;13.723444699999998;51.0907326
185;01109;Dresden-Hellerau;Ludwig-Kossuth-Str. 49;7770;15540.0;2590.0;13.742603099999998;51.117375700000004
186;01127;Dresden-Pieschen;Leipziger Str. 76;12276;40920.0;4092.0;13.7234857;51.0742586
187;01159;Dresden-Friedrichstadt;Löbtauer Str. 26;1870;5610.0;935.0;13.7151198;51.05283739999999
188;01187;Dresden-Plauen;Chemnitzer Str. 68;1880;6580.0;940.0;13.709972899999999;51.0323544
189;01069;Dresden-Südvorstadt;Budapester Str. 26A;6804;17010.0;3402.0;13.719635;51.0418064
190;01097;Dresden-Leipziger Vorstadt;Hansastr. 50;760;1900.0;380.0;13.739722699999998;51.0718816
191;01097;Dresden-Innere Neustadt;Schlesischer Platz 1;11078;49851.0;5539.0;13.7408316;51.065557399999996
192;01069;Dresden-Seevorstadt;Wiener Platz 4;12096;24192.0;4032.0;13.7314638;51.0403398
193;01109;Dresden-Klotzsche;Karl-Marx-Str. 20;10422;52110.0;5211.0;13.773710699999999;51.1131798
194;01069;Dresden-Altstadt;Grunaer Str. 5;8536;29876.0;4268.0;13.746424;51.04876849999999
195;01108;Dresden-Weixdorf;Königsbrücker Landstr. 303;585;975.0;195.0;13.799994199999999;51.146136799999994
196;01217;Dresden-Zschertnitz;Südhöhe 38;5880;23520.0;2940.0;13.7374959;51.0194227
197;01219;Dresden-Strehlen;Strehlener Platz 1;4334;10835.0;2167.0;13.7508054;51.0334937
198;01744;Dippoldiswalde;Am Firstenweg 1A;2772;8316.0;1386.0;13.667961199999999;50.8884307
199;01307;Dresden-Striesen;Comeniusplatz 2;11343;34029.0;3781.0;13.7678831;51.0418742
200;01309;Dresden;Comeniusplatz 2;3200;11200.0;1600.0;13.767874800000001;51.041877
201;01983;Großräschen;Freienhufener Str. 21A;10854;32562.0;5427.0;14.0014304;51.585583299999996
202;01968;Senftenberg;Briesker Str. 50;16968;28280.0;5656.0;13.98909;51.5138991
203;01309;Dresden-Striesen;Schandauer Str. 22A;17052;34104.0;5684.0;13.786114300000001;51.0433089
204;01277;Dresden-Seidnitz;Bodenbacher Str. 62A;10404;20808.0;3468.0;13.7890631;51.02953249999999
205;01936;Königsbrück;Weißbacher Str. 28;10455;17425.0;3485.0;13.908328299999999;51.2654541
206;01239;Dresden-Prohlis;Georg-Palitzsch-Str. 16;16068;48204.0;5356.0;13.793881699999998;51.00277759999999
207;01324;Dresden-Bühlau;Bautzner Landstr. 112;15525;25875.0;5175.0;13.844687400000002;51.06145249999999
208;01279;Dresden-Laubegast;Österreicher Str. 2;11856;23712.0;3952.0;13.831049499999999;51.02957379999999
209;01257;Dresden-Leuben;Pirnaer Landstr. 183A;12122;30305.0;6061.0;13.834931599999999;51.007988399999995
210;01454;Radeberg;Oberstr. 10;11340;45360.0;5670.0;13.920179199999998;51.11937229999999
211;01809;Heidenau;Gabelsberger Str. 8;1266;3165.0;633.0;13.8663643;50.9721591
212;01477;Arnsdorf;Stolpener Str. 14;3392;15264.0;1696.0;13.9936801;51.0976294
213;02991;Lauta;Senftenberger Str. 1;16614;38766.0;5538.0;14.0972102;51.460573499999995
214;02994;Bernsdorf;Rathausallee 2A;5992;29960.0;2996.0;14.070871499999999;51.375793200000004
215;01896;Pulsnitz;Kamenzer Str. 23;8385;16770.0;2795.0;14.015449199999999;51.18991459999999
216;01900;Großröhrsdorf;Pulsnitzer Str. 13;7344;25704.0;3672.0;14.022713099999999;51.14798829999999
217;01796;Pirna-Copitz;Rudolf-Renner-Str. 10;11718;31248.0;3906.0;13.933240300000001;50.9683091
218;01796;Pirna;Dresdner Str. 9;5886;19620.0;1962.0;13.927729000000001;50.9569921
219;01917;Kamenz;Fichtestr. 2;438;1971.0;219.0;14.106130199999999;51.2725742
220;03046;Cottbus-Ströbitz;Karl-Liebknecht-Str. 47A;8800;44000.0;4400.0;14.311474599999999;51.7555164
221;03044;Cottbus-Brunschwig;Sielower Landstr. 21;12818;51272.0;6409.0;14.323722;51.775726899999995
222;02977;Hoyerswerda;Schulstr. 2A;8658;23088.0;2886.0;14.2390415;51.43826749999999
223;03042;Cottbus;Sielower Landstr. 21;10704;28544.0;3568.0;14.3260419;51.772394399999996
224;03050;Cottbus-Sachsendorf;Uhlandstr. 12;672;2240.0;224.0;14.3358339;51.7256194
225;03042;Cottbus-Sandow;Dissenchener Str. 16;13500;54000.0;6750.0;14.352148399999999;51.76281289999999
226;03185;Peitz;Cottbuser Str. 7A;8814;29380.0;2938.0;14.406687;51.85217300000001
227;01877;Bischofswerda;Friedrich-List-Str. 2;4086;10215.0;2043.0;14.187957199999998;51.117237599999996
228;03130;Spremberg;Heinrichstr. 17;18468;55404.0;6156.0;14.3763878;51.568003499999996
229;01814;Bad Schandau;Basteistr. 31;7557;12595.0;2519.0;14.139842100000001;50.922211600000004
230;01844;Neustadt/ Sachsen;Wilhelm-Kaulisch-Str. 29;18630;62100.0;6210.0;14.2137366;51.0276303
231;01904;Neukirch;Am Ostbahnhof 5;10626;42504.0;5313.0;14.3203199;51.091936100000005
232;01855;Sebnitz;Gartenstr. 1;9048;27144.0;3016.0;14.2712695;50.9770326
233;02625;Bautzen;Neusalzaer Str. 39A;2330;6990.0;1165.0;14.426266199999999;51.16927329999999
234;02625;Bautzen;Steinstr. 36;18954;50544.0;6318.0;14.433009599999998;51.1805519
235;03159;Döbern;Aufbaustr. 17;14100;42300.0;7050.0;14.594976999999998;51.61558170000001
236;03149;Forst;Spremberger Str. 10;944;3304.0;472.0;14.638705800000002;51.7365787
237;02943;Boxberg;Friedensstr. 77;7110;31995.0;3555.0;14.5784767;51.402955299999995
238;03172;Guben;Sprucker Str. 36;17136;39984.0;5712.0;14.7018478;51.9481555
239;02943;Weißwasser;Bautzener Str. 31;7648;34416.0;3824.0;14.634074400000001;51.4993292
240;02733;Cunewalde;Czornebohstr. 2a;11520;19200.0;3840.0;14.520218700000001;51.10120070000001
241;02730;Ebersbach;Bautzner Str. 27;3374;8435.0;1687.0;14.5905346;51.0040105
242;02708;Löbau;Poststr. 7;6292;18876.0;3146.0;14.6658307;51.0986556
243;02763;Zittau-Süd;Kantstr. 31;4860;21870.0;2430.0;14.8040644;50.8858776
244;02827;Görlitz-Rauschwalde;Reichenbacher Str. 53B;7320;25620.0;3660.0;14.9500211;51.147625500000004
245;02826;Görlitz;Christoph-Lüders-Str. 32;980;4900.0;490.0;14.9753095;51.15564439999999
246;19258;Boizenburg;Am Keesboom 4;10824;54120.0;5412.0;10.7347366;53.386633999999994
247;19249;Lübtheen;Grüner Weg 1;2223;3705.0;741.0;11.0836038;53.2969559
248;19246;Zarrentin;Am Bahnhof 1;6696;20088.0;2232.0;10.9134575;53.547031499999996
249;19243;Wittenburg;Wölzower Weg 1;19422;51792.0;6474.0;11.0833841;53.50427850000001
250;19322;Wittenberge;Lenzener Str. 61;8250;22000.0;2750.0;11.742769699999998;52.9970995
251;19322;Wittenberge;Bentwischer Weg 56;20331;47439.0;6777.0;11.743045500000001;53.0176032
252;19300;Grabow;Neu Karstädter Weg 13;504;1764.0;252.0;11.5546498;53.28168370000001
253;19205;Gadebusch;Ratzeburger Chaussee 25;22011;44022.0;7337.0;11.0999279;53.6962594
254;19348;Perleberg;Berliner Str. 35;508;2032.0;254.0;11.8749713;53.0711613
255;19306;Neustadt-Glewe;Ludwigsluster Str. 2;765;1785.0;255.0;11.5817561;53.383625699999996
256;19217;Rehna;Gletzower Str. 29;1536;5376.0;768.0;11.0449695;53.7818601
257;19061;Schwerin-Wüstmark;Schweriner Str. 3B;514;1542.0;257.0;11.3989055;53.58478149999999
258;19057;Schwerin-Lankow;Greifswalder Str. 1;20124;67080.0;6708.0;11.352493199999998;53.647214
259;19061;Schwerin-Dreesch;An der Crivitzer Chaussee 16;15540;46620.0;7770.0;11.4422651;53.60303709999999
260;19059;Schwerin-Weststadt;Lübecker Str. 225;7800;23400.0;3900.0;11.3930422;53.6405991
261;19053;Schwerin;Burgstr. 20-22;6264;15660.0;3132.0;11.418874;53.62872059999999
262;19055;Schwerin;Lübecker Str. 225;9956;34846.0;4978.0;11.392648;53.63979450000001
263;14727;Premnitz;Ernst-Thälmann-Str. 2;3156;11046.0;1578.0;12.3382114;52.5315579
264;14727;Premnitz;H.-Heine Str.;1584;2640.0;528.0;12.3460355;52.5278064
265;14712;Rathenow;Bruno-Baum-Ring 11A;2650;10600.0;1325.0;12.36121;52.60371
266;19370;Parchim;Ludwigsluster Chaussee 30;6384;21280.0;2128.0;11.8267343;53.42765619999999
267;19089;Crivitz;Weinbergstr. 14;23229;54201.0;7743.0;11.6467413;53.5806921
268;19370;Parchim;Schweriner Chaussee 27;13936;55744.0;6968.0;11.8487061;53.43779820000001
269;16949;Putlitz;Kaltenkirchener Siedlung 3;8070;26900.0;2690.0;12.0443701;53.2465507
270;14770;Brandenburg-Altstadt;Friedrich-Franz-Str. 4;9720;29160.0;3240.0;12.5243694;52.41390870000001
271;16928;Pritzwalk;Rostocker Str. 3;8130;40650.0;4065.0;12.1728871;53.158311399999995
