ID;PLZ;Region;Strassenname;Anzahl_Mitarbeiter;Jahresumsatz;Verkaufsflaeche
42;06844;Dessau;Koethener Str. 70a;2520;840;6720
43;07768;Kahla;Christian-Eckhardt-Str. 40;1290;430;3870
44;06667;Weißenfels;Merseburger Str. 72;2552;1276;7656
45;06846;Dessau-Mitte;Askanische Str. 115;2340;1170;11700
46;06667;Weißenfels;Tagewerben Str. 38;92;46;276
47;06231;Bad Dürrenberg;Breite Str. 58;1128;564;5076
48;06766;Wolfen;Leipziger Str. 83-89;1920;960;7680
49;07381;Pößneck;Neustädter Str. 149;2205;735;3675
50;07607;Eisenberg;Jenaer Str. 1-5;600;200;1400
51;07629;Hermsdorf;Eisenberger Str. 120;2754;1377;8262
52;04435;Schkeuditz;Hallesche Str. 64;2964;988;5928
53;06749;Bitterfeld;Friedensstr. 5-7;2544;1272;10176
54;07806;Neustadt/ Orla;Schleizer Str. 10;486;162;1296
55;04509;Delitzsch;Richard-Wagner-Str. 9A;3190;1595;7975
56;04420;Markranstädt;Leipziger Str. 67;784;392;2744
57;04205;Leipzig-Grünau;Großmiltitzer Str. 45;1368;456;4560
58;04205;Leipzig-Schönau;Lützner Str. 396;1856;928;4640
59;06773;Gräfenhainichen;Bahnhofstr. 2;1062;531;5310
60;04207;Leipzig-Grünau;Stuttgarter Allee 2;1800;900;8100
61;06712;Zeitz;Friedensstr. 27;2562;1281;6405
62;04177;Leipzig-Altlindenau;Hauschildstr. 1;3720;1860;9300
63;04229;Leipzig-Plagwitz;Zschochersche Str. 79;5103;1701;8505
64;06712;Zeitz;Geußnitzer Straße;1280;640;6400
65;04249;Leipzig-Großzschocher;Dieskaustr. 175;4875;1625;11375
66;04157;Leipzig-Gohlis;Max-Liebermann-Str. 99;1386;462;2772
67;04523;Pegau;Groitzscher Fußweg 1;3216;1608;14472
68;04523;Pegau;Leipziger Vorstadt / B2;2040;680;6120
69;04129;Leipzig-Eutritzsch;Theresienstr. 5;4554;1518;7590
70;04109;Leipzig-Mitte;Petersstr. 36/44;1890;630;3150
71;04277;Leipzig-Connewitz;Windscheidstr. 1;639;213;1065
72;07545;Gera-Bieblach;Str. des Bergmanns 10;2376;792;6336
73;04416;Markkleeberg;Koburger Str. 45;3650;1825;14600
74;07552;Gera-Langenberg;Langenberger Str. 21;5994;1998;11988
75;07548;Gera-Debschwitz;Str. des Friedens 32/34;3825;1275;11475
76;04442;Zwenkau;Pegauer Str. 141;1368;684;6156
77;04277;Leipzig-Marienbrunn;Zwickauer Str. 66;924;462;3696
78;04349;Leipzig-Thekla;Theklaer Str. 150;2340;780;4680
79;07549;Gera-Lusan;Zeulsdorfer Str. 50A;3792;1896;11376
80;04318;Leipzig-Sellerhausen;Torgauer Str. 74;1280;640;6400
81;07907;Schleiz;Geraer Str. 21;5832;1944;13608
82;04299;Leipzig-Stötteritz;Holzhäuser Str. 104;328;164;820
83;07356;Bad Lobenstein;Zum Tännig 2;3320;1660;9960
84;07546;Gera;Am Flugplatz 5;3024;1512;13608
85;06886;Wittenberg;Dessauer Str. 279;2210;1105;9945
86;04328;Leipzig-Paunsdorf;Riesaer Str. 75;5418;1806;9030
87;04425;Taucha;Leipziger Str. 117;2349;783;7830
88;04564;Böhlen;Röthaer Str. 30C;1056;352;3520
89;06886;Wittenberg;Berliner Chaussee 13;6141;2047;16376
90;04610;Meuselwitz;Baderdamm 17;1080;360;2160
91;04849;Bad Düben;Schmiedeberger Str. 56B;4732;2366;14196
92;07937;Zeulenroda;Schopperstr. 32C;1104;368;2208
93;04838;Eilenburg;Ziegelstr. 4;3906;1953;17577
94;04552;Borna;Lobstädter Str. 17;2820;1410;7050
95;04617;Lödla-Oberlödla;Lödlaer Chaussee 2;3420;1140;9120
96;04683;Naunhof;Brandiser Str. 88;4608;1536;12288
97;04552;Borna;Sachsenallee;3686;1843;9215
98;07926;Gefell;Schleizer Str. 49;3528;1176;11760
99;04626;Schmölln;Ronneburger Str. 118A;1188;594;5940
100;04600;Altenburg;Kauerndorfer Allee 10;3900;1300;9100
101;04567;Kitzscher;Trageser Str. 36;5151;1717;8585
102;07973;Greiz;August-Bebel-Str. 21;7344;2448;12240
103;04654;Frohburg;Wiesenmühlenweg 1;4326;1442;8652
104;04808;Wurzen;Dresdener Str. 7;1248;416;2912
105;08451;Crimmitschau;Amselstr. 2;1680;840;4200
106;04668;Grimma;Bahnhofstr. 12;4876;2438;12190
107;08393;Meerane;Äussere Crimmitschauer Str. 82;4708;2354;14124
108;08412;Werdau;Crimmitschauer Str. 8;4536;1512;13608
109;08527;Plauen-Süd;Hofer Str. 21;4142;2071;14497
110;06917;Jessen;Rosa-Luxemburg-str. 70;1760;880;7920
111;08468;Reichenbach;Zwickauer Str. 97;2997;999;5994
112;04643;Geithain;Grimmaische Str. 37-39;896;448;3584
113;08115;Lichtentanne;Bahnhofstraße;6780;2260;11300
114;08371;Glauchau;Hans-Lorenz-Str. 1;9234;3078;21546
115;08060;Zwickau-Marienthal;Marienthaler Str. 53;1035;345;2070
116;08233;Treuen;Oststr. 96;10092;3364;33640
117;08058;Zwickau-Pölbitz;Leipziger Str. 168;4914;2457;12285
118;08606;Oelsnitz/ Vogtland;Plauensche Str. 67;8142;2714;13570
119;08056;Zwickau-Planitz;Am Fuchsgraben 21;4998;1666;16660
120;04860;Torgau;Warschauer Str. 9B;2880;960;7680
121;04680;Colditz;Wassergasse 1;4598;2299;18392
122;09322;Penig;Chemnitzer Str. 98A;2684;1342;8052
123;08112;Wilkau-Haßlau;Zwickauer str. 39;8118;2706;21648
124;08228;Rodewisch;Lengenfelder Str. 3;2232;744;3720
125;08209;Auerbach;Göltzschtalstr. 47;3250;1625;8125
126;04874;Belgern;Bahnhofstr. 10A;4158;1386;6930
127;09337;Hohenstein-Ernstthal;Dresdner Str. 122;1016;508;4064
128;09212;Limbach-Oberfrohna;Chemnitzer Str. 40;1536;512;3584
129;04916;Herzberg;Berliner Str. 1;5805;1935;19350
130;04758;Oschatz;Altmarkt 17-18;260;130;1170
131;08258;Markneukirchen;Adorfer Str. 49;1179;393;2751
132;04736;Waldheim;Hauptstr. 5;2904;1452;8712
133;09399;Niederwürschnitz;Stollberger Str. 7;3990;1995;11970
134;08289;Schneeberg;Kobaltstr. 2A;8442;2814;16884
135;09117;Chemnitz-Siegmar;Zwickauer Str. 391-393;9720;3240;25920
136;09648;Mittweida;Bahnhofstr. 8-10;5304;1768;15912
137;09116;Chemnitz-Altendorf;Limbacher Str. 208;5343;1781;17810
138;09366;Stollberg;Chemnitzer Str. 27;1932;966;7728
139;09116;Chemnitz-Kaßberg;Limbacher Str. 31;1390;695;3475
140;09116;Chemnitz-Kappel;Zwickauer Str. 160;5880;1960;15680
141;08248;Klingenthal;Holzhofstr. 4;4653;1551;13959
142;09120;Chemnitz-Helbersdorf;Paul-Bertz-Str. 14;4828;2414;19312
143;08280;Aue;Dr.Otto-Nuschke-Str. 9;858;286;2288
144;04720;Döbeln;Schlachthofstr. 2;6048;2016;10080
145;09111;Chemnitz-Schloßchemnitz;Eckstr. 4;870;290;2320
146;09120;Chemnitz-Altchemnitz;Wilhelm-Raabe-Str. 52;584;292;2920
147;09130;Chemnitz-Sonnenberg;Fürstenstr. 5;1764;588;4704
148;04720;Döbeln;Dresdner Str. 30;3108;1036;6216
149;09126;Chemnitz-Lutherviertel;Zschopauer Str. 184;6556;3278;29502
150;09127;Chemnitz;Zschopauer Str. 184;13050;4350;34800
151;09669;Frankenberg;Chemnitzer Str. 59;906;453;2718
152;01587;Riesa-Neuweida;Lange Str. 46;3192;1064;9576
153;04741;Roßwein;Döbelner Str. 71;4131;1377;8262
154;09661;Hainichen;August-Bebel-Str. 1;616;308;2772
155;01589;Riesa;August-Bebel-Str. 2;7750;3875;38750
156;01587;Riesa;August-Bebel-Str. 2;3744;1872;14976
157;08340;Schwarzenberg;Karlsbader Str. 42;4710;2355;18840
158;04924;Bad Liebenwerda;Dresdener Str. 29;5688;1896;13272
159;09557;Flöha;Augustusburger Str. 92-94;636;318;1908
160;09557;Flöha;Bergstr. 20;8320;4160;41600
161;01612;Nünchritz;Meißner Str. 2D;12075;4025;32200
162;01609;Gröditz;Hauptstr. 77C;4212;2106;12636
163;03253;Doberlug-Kirchhain;Bahnhofsallee 10;9291;3097;21679
164;04910;Elsterwerda;Schillerstr. 41;8528;4264;25584
165;09456;Annaberg-Buchholz;Chemnitzer Str. 42;8415;2805;16830
166;01558;Großenhain;Radeburger Str. 5;4316;2158;19422
167;09599;Freiberg;Olbernhauer Str. 45-47;6012;3006;30060
168;01662;Meißen-Cölln;Fabrikstr. 11;4032;1344;9408
169;01662;Meißen-Altstadt;Poststr. 11;6084;2028;20280
170;03238;Finsterwalde;Langer Damm 6;5610;1870;18700
171;01723;Wilsdruff;Freiberger Str. 56;4446;2223;22230
172;01689;Weinböhla;Dresdner Str. 16;2752;1376;11008
173;01561;Lampertswalde;Am Mart 1;5190;2595;23355
174;01979;Lauchhammer;Gerhart-Hauptmann-Str. 6A;2610;870;6960
175;01445;Radebeul-West;Meißner Str. 252;1050;350;1750
176;01471;Radeburg;Lindenweg 1;528;176;1408
177;03222;Lübbenau;Otto-Grotewohl-Str. 19;9027;3009;27081
178;01445;Radebeul-Ost;Meißner Str. 41;8900;4450;40050
179;01169;Dresden-Gorbitz;Omsewitzer Ring 45;8592;4296;34368
180;01157;Dresden-Cotta;Cossebauder Str. 6;4680;2340;21060
181;01705;Freital;Dresdner Str. 112;1086;543;2715
182;01945;Ruhland;Berliner Str. 1;13650;4550;45500
183;03205;Calau;Gewerbepark Nord 1;2196;1098;5490
184;01129;Dresden-Trachenberge;Großenhainer Str. 156;5520;1840;14720
185;01109;Dresden-Hellerau;Ludwig-Kossuth-Str. 49;7770;2590;15540
186;01127;Dresden-Pieschen;Leipziger Str. 76;12276;4092;40920
187;01159;Dresden-Friedrichstadt;Löbtauer Str. 26;1870;935;5610
188;01187;Dresden-Plauen;Chemnitzer Str. 68;1880;940;6580
189;01069;Dresden-Südvorstadt;Budapester Str. 26A;6804;3402;17010
190;01097;Dresden-Leipziger Vorstadt;Hansastr. 50;760;380;1900
191;01097;Dresden-Innere Neustadt;Schlesischer Platz 1;11078;5539;49851
192;01069;Dresden-Seevorstadt;Wiener Platz 4;12096;4032;24192
193;01109;Dresden-Klotzsche;Karl-Marx-Str. 20;10422;5211;52110
194;01069;Dresden-Altstadt;Grunaer Str. 5;8536;4268;29876
195;01108;Dresden-Weixdorf;Königsbrücker Landstr. 303;585;195;975
196;01217;Dresden-Zschertnitz;Südhöhe 38;5880;2940;23520
197;01219;Dresden-Strehlen;Strehlener Platz 1;4334;2167;10835
198;01744;Dippoldiswalde;Am Firstenweg 1A;2772;1386;8316
199;01307;Dresden-Striesen;Comeniusplatz 2;11343;3781;34029
200;01309;Dresden;Comeniusplatz 2;3200;1600;11200
201;01983;Großräschen;Freienhufener Str. 21A;10854;5427;32562
202;01968;Senftenberg;Briesker Str. 50;16968;5656;28280
203;01309;Dresden-Striesen;Schandauer Str. 22A;17052;5684;34104
204;01277;Dresden-Seidnitz;Bodenbacher Str. 62A;10404;3468;20808
205;01936;Königsbrück;Weißbacher Str. 28;10455;3485;17425
206;01239;Dresden-Prohlis;Georg-Palitzsch-Str. 16;16068;5356;48204
207;01324;Dresden-Bühlau;Bautzner Landstr. 112;15525;5175;25875
208;01279;Dresden-Laubegast;Österreicher Str. 2;11856;3952;23712
209;01257;Dresden-Leuben;Pirnaer Landstr. 183A;12122;6061;30305
210;01454;Radeberg;Oberstr. 10;11340;5670;45360
211;01809;Heidenau;Gabelsberger Str. 8;1266;633;3165
212;01477;Arnsdorf;Stolpener Str. 14;3392;1696;15264
213;02991;Lauta;Senftenberger Str. 1;16614;5538;38766
214;02994;Bernsdorf;Rathausallee 2A;5992;2996;29960
215;01896;Pulsnitz;Kamenzer Str. 23;8385;2795;16770
216;01900;Großröhrsdorf;Pulsnitzer Str. 13;7344;3672;25704
217;01796;Pirna-Copitz;Rudolf-Renner-Str. 10;11718;3906;31248
218;01796;Pirna;Dresdner Str. 9;5886;1962;19620
219;01917;Kamenz;Fichtestr. 2;438;219;1971
220;03046;Cottbus-Ströbitz;Karl-Liebknecht-Str. 47A;8800;4400;44000
221;03044;Cottbus-Brunschwig;Sielower Landstr. 21;12818;6409;51272
222;02977;Hoyerswerda;Schulstr. 2A;8658;2886;23088
223;03042;Cottbus;Sielower Landstr. 21;10704;3568;28544
224;03050;Cottbus-Sachsendorf;Uhlandstr. 12;672;224;2240
225;03042;Cottbus-Sandow;Dissenchener Str. 16;13500;6750;54000
226;03185;Peitz;Cottbuser Str. 7A;8814;2938;29380
227;01877;Bischofswerda;Friedrich-List-Str. 2;4086;2043;10215
228;03130;Spremberg;Heinrichstr. 17;18468;6156;55404
229;01814;Bad Schandau;Basteistr. 31;7557;2519;12595
230;01844;Neustadt/ Sachsen;Wilhelm-Kaulisch-Str. 29;18630;6210;62100
231;01904;Neukirch;Am Ostbahnhof 5;10626;5313;42504
232;01855;Sebnitz;Gartenstr. 1;9048;3016;27144
233;02625;Bautzen;Neusalzaer Str. 39A;2330;1165;6990
234;02625;Bautzen;Steinstr. 36;18954;6318;50544
235;03159;Döbern;Aufbaustr. 17;14100;7050;42300
236;03149;Forst;Spremberger Str. 10;944;472;3304
237;02943;Boxberg;Friedensstr. 77;7110;3555;31995
238;03172;Guben;Sprucker Str. 36;17136;5712;39984
239;02943;Weißwasser;Bautzener Str. 31;7648;3824;34416
240;02733;Cunewalde;Czornebohstr. 2a;11520;3840;19200
241;02730;Ebersbach;Bautzner Str. 27;3374;1687;8435
242;02708;Löbau;Poststr. 7;6292;3146;18876
243;02763;Zittau-Süd;Kantstr. 31;4860;2430;21870
244;02827;Görlitz-Rauschwalde;Reichenbacher Str. 53B;7320;3660;25620
245;02826;Görlitz;Christoph-Lüders-Str. 32;980;490;4900
246;19258;Boizenburg;Am Keesboom 4;10824;5412;54120
247;19249;Lübtheen;Grüner Weg 1;2223;741;3705
248;19246;Zarrentin;Am Bahnhof 1;6696;2232;20088
249;19243;Wittenburg;Wölzower Weg 1;19422;6474;51792
250;19322;Wittenberge;Lenzener Str. 61;8250;2750;22000
251;19322;Wittenberge;Bentwischer Weg 56;20331;6777;47439
252;19300;Grabow;Neu Karstädter Weg 13;504;252;1764
253;19205;Gadebusch;Ratzeburger Chaussee 25;22011;7337;44022
254;19348;Perleberg;Berliner Str. 35;508;254;2032
255;19306;Neustadt-Glewe;Ludwigsluster Str. 2;765;255;1785
256;19217;Rehna;Gletzower Str. 29;1536;768;5376
257;19061;Schwerin-Wüstmark;Schweriner Str. 3B;514;257;1542
258;19057;Schwerin-Lankow;Greifswalder Str. 1;20124;6708;67080
259;19061;Schwerin-Dreesch;An der Crivitzer Chaussee 16;15540;7770;46620
260;19059;Schwerin-Weststadt;Lübecker Str. 225;7800;3900;23400
261;19053;Schwerin;Burgstr. 20-22;6264;3132;15660
262;19055;Schwerin;Lübecker Str. 225;9956;4978;34846
263;14727;Premnitz;Ernst-Thälmann-Str. 2;3156;1578;11046
264;14727;Premnitz;H.-Heine Str.;1584;528;2640
265;14712;Rathenow;Bruno-Baum-Ring 11A;2650;1325;10600
266;19370;Parchim;Ludwigsluster Chaussee 30;6384;2128;21280
267;19089;Crivitz;Weinbergstr. 14;23229;7743;54201
268;19370;Parchim;Schweriner Chaussee 27;13936;6968;55744
269;16949;Putlitz;Kaltenkirchener Siedlung 3;8070;2690;26900
270;14770;Brandenburg-Altstadt;Friedrich-Franz-Str. 4;9720;3240;29160
271;16928;Pritzwalk;Rostocker Str. 3;8130;4065;40650
272;14772;Brandenburg-Nord;Upstallstr. 22;5440;2720;21760
273;14776;Brandenburg-Neustadt;Potsdamer Str. 23;3276;1092;5460
274;14806;Bad Belzig;Brücker Landstr. 5;16440;8220;57540
275;16866;Kyritz;Perleberger Str. 55;15400;7700;61600
276;16845;Neustadt/ Dosse;Ihlenweg 2;14076;4692;23460
277;19386;Lübz;Werderstr. 21B;15789;5263;36841
278;14797;Kloster Lehnin;Emstaler Landstr. 40;9452;4726;23630
279;19417;Warin;Bützower Str. 2-4;3348;1674;10044
280;16909;Wittstock;Perleberger Str. 42;15120;5040;40320
281;19399;Goldberg;Plauer Chaussee 5;23604;7868;39340
282;19399;Goldberg;Hauptstr. 34/ An der B 192;12690;4230;29610
283;19395;Plau;Quetziner Str. 19A;3396;1132;5660
284;14669;Ketzin;Nauener Str. 9;4260;1420;11360
285;16833;Fehrbellin;Berliner Allee 30C;12540;6270;62700
286;14542;Werder;Berliner Str. 88;5148;2574;23166
287;14641;Nauen;Berliner Str. 38/40/42;11193;3731;22386
288;14547;Beelitz;Clara-Zetkin-Str. 37A;14688;4896;44064
289;16816;Neuruppin;Neustädter Str. 53;1734;867;5202
290;18246;Bützow;Bahnhofstr. 23/25;24360;8120;48720
291;17213;Malchow;Rostocker Str. 11;3492;1164;6984
292;14469;Potsdam-Bornim;Potsdamer Str. 39-42;5256;2628;26280
293;16827;Alt Ruppin;Wulkower Chaussee 5;17580;5860;35160
294;14656;Brieselang;Wustermarker Allee 16;14700;7350;73500
295;14471;Potsdam-West;Zeppelinstr. 56;23010;7670;46020
296;18273;Güstrow;Platz Der Freundschaft 14;9472;4736;42624
297;14913;Jüterbog;Vorstadt Neumarkt 5-7;10692;3564;21384
298;14467;Potsdam-Berliner Vorstadt;Berliner Str. 121;13112;6556;65560
299;17207;Röbel;Warener Chaussee 6;13156;6578;65780
300;14478;Potsdam-Schlaatz;Horstweg 98;3600;1800;10800
301;14624;Dallgow-Döberitz;Wilmsstr. 57;15652;7826;39130
302;18273;Güstrow;Rostocker Chaussee 3;2416;1208;7248
303;18236;Kröpelin;Schulstr. 9;15453;5151;30906
304;16766;Kremmen;Ruppiner Str. 57;11856;3952;19760
305;14612;Falkensee;Falkenhagener Str. 86;18300;9150;54900
306;14480;Potsdam-Kirchsteigfeld;Zum Kirchsteigfeld 12;14076;7038;63342
307;14480;Potsdam-Am Stern;Großbeerenstr. 265;1228;614;5526
308;18225;Kühlungsborn;Hermannstr. 24;11704;5852;29260
309;13591;Berlin-Spandau;Heerstr. 640;6798;3399;27192
310;16831;Rheinsberg;Berliner Str. 41;4960;2480;14880
311;14089;Berlin-Kladow;Kladower Damm 363-365;10574;5287;26435
312;14943;Luckenwalde;Schützenstr. 46;17784;5928;41496
313;13591;Berlin-Spandau;Seegefelder Weg 391;10016;5008;30048
314;18258;Schwaan;Doberaner Str. 30C;1884;942;5652
315;14959;Trebbin;Berliner Tor 3;5670;2835;17010
316;13593;Berlin-Spandau;Am Omnibushof 13;1896;948;8532
317;18209;Bad Doberan;Rostocker Str. 2-4;17118;5706;45648
318;14532;Stahnsdorf;Wannseestr. 17;19080;9540;66780
319;13581;Berlin-Spandau;Seeburger Str. 18;26796;8932;71456
320;13585;Berlin-Spandau;Falkenseer Damm 19;1920;640;5120
321;14532;Kleinmachnow;Karl-Marx-Str. 38-42;13482;4494;44940
322;13585;Berlin-Spandau;Neuendorfer Str. 30;19320;9660;96600
323;16761;Hennigsdorf;Rosa-Luxemburg-Platz 1;16796;8398;75582
324;16727;Velten;Poststr. 20;13608;4536;31752
325;14513;Teltow;Elbestr. 1;975;325;2600
326;14974;Ludwigsfelde;Am Bahnhof 2A;7824;2608;15648
327;17192;Waren;Strelitzer Str. 38;11772;3924;23544
328;13599;Berlin-Spandau;Nonnendammallee 175;4920;1640;14760
329;14167;Berlin-Zehlendorf;Mühlenstr. 2;1974;658;3290
330;13597;Berlin-Spandau;Charlottenburger Chaussee 18;13200;6600;59400
331;16767;Leegebruch;Eichenallee 41;662;331;1986
332;14167;Berlin-Zehlendorf;Teltower Damm 295;17928;5976;35856
333;14195;Berlin-Zehlendorf;Hüttenweg 50;11988;3996;39960
334;14169;Berlin-Zehlendorf;Clayallee 278;2004;668;3340
335;13503;Berlin-Reinickendorf;Ruppiner Chaussee 401;16750;8375;50250
336;14979;Großbeeren;Märkische Allee 85;30240;10080;90720
337;12205;Berlin-Lichterfelde;Curtiusstr. 36;3033;1011;5055
338;12207;Berlin-Lichterfelde;Wismarer Str. 35;8788;4394;43940
339;14059;Berlin-Charlottenburg;Fürstenbrunner Weg 14-18;2034;678;3390
340;14059;Berlin-Charlottenburg;Sophie-Charlotten-Str. 31;20400;10200;81600
341;10709;Berlin-Wilmersdorf;Seesener Str. 10-13;10230;5115;30690
342;10629;Berlin-Charlottenburg;Gervinusstr. 30;6156;2052;16416
343;18059;Rostock-Süd;Satower Str. 7D;3087;1029;5145
344;18069;Rostock-Reutershagen;Tschaikowskistr. 39;1032;344;2064
345;13507;Berlin-Reinickendorf;Karolinenstr. 1-2;2070;1035;7245
346;16515;Oranienburg;Berliner Str. 49;20068;10034;90306
347;12203;Berlin-Lichterfelde;Hindenburgdamm 94;29148;9716;48580
348;10627;Berlin-Charlottenburg;Wilmersdorfer Str. 126;6960;3480;27840
349;12163;Berlin-Steglitz;Rothenburgstr. 38A;16752;5584;27920
350;18106;Rostock-Evershagen;Maxim-Gorki-Str. 66/67;8400;4200;29400
351;10589;Berlin-Charlottenburg;Lise-Meitner-Str. 6;16146;8073;64584
352;16540;Hohen Neuendorf;Backofenweg 4;9152;4576;36608
353;12163;Berlin;Schlossstr. 1;9884;4942;24710
354;12167;Berlin-Steglitz;Birkbuschstr. 54;8496;2832;19824
355;16540;Hohen Neuendorf;Backofenweg 13;19170;6390;31950
356;12247;Berlin-Lankwitz;Kaiser-Wilhelm-Str. 6;14952;7476;44856
357;10719;Berlin-Charlottenburg;Knesebeckstr. 47/48;1428;714;6426
358;12169;Berlin-Steglitz;Bergstr. 86;8592;2864;28640
359;10715;Berlin-Wilmersdorf;Berliner Str. 26/27;22617;7539;45234
360;16515;Oranienburg;Wiesbadener Str. 1;7560;2520;25200
361;18069;Rostock-Reutershagen;Am Fischereihafen 3;18411;6137;55233
362;16547;Birkenwerder;Hauptstr. 100;2172;1086;7602
363;10719;Berlin-Charlottenburg;Meinekestr. 22;14520;7260;50820
364;18057;Rostock-Vorstadt;Doberaner Str. 144;16380;5460;27300
365;18107;Rostock-Lütten Klein;Warnowallee 20A;16425;5475;43800
366;13509;Berlin-Borsigwalde;Holzhauser Str. 168;14640;7320;73200
367;10827;Berlin-Schöneberg;Innsbrucker Platz (im U-Bahnhof);22020;11010;77070
368;18106;Rostock-Schmarl;Stephan-Jantzen-Ring 50A;11040;5520;38640
369;13467;Berlin-Reinickendorf;Berliner Str. 141;14760;7380;66420
370;13403;Berlin-Reinickendorf;Waldstr. 14-21;28860;9620;96200
371;12247;Berlin-Lankwitz;Kaiser-Wilhelm-Str. 127;19292;9646;57876
372;12279;Berlin-Marienfelde;Marienfelder Allee 202;3720;1860;13020
373;12157;Berlin-Schöneberg;Vorarlberger Damm 24/26;21634;10817;86536
374;13403;Berlin-Reinickendorf;Ollenhauerstr. 7/ Friedrich-Karl-Str. 1-2;21692;10846;86768
375;18055;Rostock-Kassebohm;Neubrandenburger Str. 10-11;15000;7500;52500
376;12137;Berlin;Steglitzer Damm 95;14288;7144;64296
377;12169;Berlin-Steglitz;Steglitzer Damm 95;10556;5278;47502
378;12277;Berlin-Marienfelde;Malteserstr. 162;3024;1512;10584
379;10827;Berlin-Schöneberg;Hauptstr. 122;11370;5685;28425
380;10787;Berlin-Schöneberg;Kleiststr. 3-6;19000;9500;57000
381;18109;Rostock-Groß Klein;Schiffbauerring 1;19431;6477;58293
382;18055;Rostock-Mitte;Gaffelschoner Weg 15;30942;10314;61884
383;10783;Berlin-Schöneberg;Potsdamer Str. 203;6894;2298;13788
384;17166;Teterow;Bahnhofstr. 14;16896;8448;84480
385;10559;Berlin-Mitte;Quitzowstr. 23;23100;11550;57750
386;13349;Berlin-Mitte;Müllerstr. 48/48A;9264;4632;23160
387;13407;Berlin-Reinickendorf;Roedernallee 49-50;5805;1935;11610
388;18109;Rostock-Lichtenhagen;Güstrower Str. 8;15520;7760;38800
389;12103;Berlin-Tempelhof;Manteuffelstr. 24-25;15560;7780;54460
390;12107;Berlin-Tempelhof;Großbeerenstr. 2;14820;7410;51870
391;10965;Berlin-Tempelhof;Dudenstr. 90;17204;8602;43010
392;10965;Berlin-Schöneberg;Kreuzbergstr. 40;21168;7056;70560
393;12109;Berlin;Ullsteinstr. 135;18078;9039;72312
394;12099;Berlin-Tempelhof;Tempelhofer Damm 215-219;24822;8274;57918
395;12277;Berlin-Marienfelde;Säntisstr. 49;7900;3950;31600
396;18146;Rostock-Dierkow;Hinrichsdorfer Str. 13B;28512;9504;95040
397;13409;Berlin-Reinickendorf;Markstr. 39-42;9528;4764;38112
398;12099;Berlin-Tempelhof;Tempelhofer Damm 130;3582;1194;9552
399;12307;Berlin-Lichtenrade;Nuthestr. 5;31122;10374;103740
400;15831;Mahlow;Berliner Damm 159-161;21600;7200;36000
401;10117;Berlin-Mitte;Luisenstr. 52;30075;10025;60150
402;13347;Berlin-Mitte;Reinickendorfer Str. 41/ Wiesenstr. 31;3216;1608;8040
